"Population Estimate","","","","","","","","","","","Geography","","","","","Building Estimate","","","","","","Accessibility: Total population - WorldPop (2026)","","","","","","Site Attributes","","","","","","","","","","","","","","",""
"Total population - Meta (2023-04-21)","Total population - WorldPop (2026)","Total population - WorldPop UN (2020)","Total population - Grid3","Total population - Kontur (2023-10-31)","Total women - Meta (2023-04-21)","Total men - Meta (2023-04-21)","Children under 5 - Meta (2023-04-21)","People 15 to 24 - Meta (2023-04-21)","Women 15 to 49 - Meta (2023-04-21)","People 60 and older - Meta (2023-04-21)","Country (Admin 0)","State (Admin 1)","Local government area (Admin 2)","Ward (Admin 3)","Name","OpenStreetMap Buildings (2026-02-20)","Overture Buildings (2026-02-20)","Google Buildings 60+% Confidence (2023-05)","Google Buildings 70+% Confidence (2023-05)","Google Buildings 80+% Confidence (2023-05)","Average Building Footprint (m²) (2023-05)","People within 1hr of driving","People between 1hr - 4hr of driving","People further than 4hr of driving","People within 1hr of walking","People between 1hr - 4hr of walking","People further than 4hr of walking","location_id","facility_level_text","ownership_code","organization_id","nhfr_code","ownership_text","grid3_globalid","facility_level_code","status","country","state","nhfr_uid","lga","lga_location_id","Site Longitude","Site Latitude"
"3571","7217","6340","5624","3704","1785","1785","530","530","1014","0","Nigeria","Bauchi","Toro","Jama'a #1","Amana Health Clinic","2144","2447","1971","1634","683","37.76","7197","20","0","3391","3826","0","62","Primary Health Clinic","private","org-62d44fa6-6452-4810-bb9f-f41ff201d50d","5","For Profit","62","primary","active","Nigeria","Bauchi","75099900","Toro","nga-ba-5018","9.433270969","10.15212597"
"2449","3024","2805","3038","2590","1224","1224","358","358","697","0","Nigeria","Bauchi","Toro","Jama'a #1","Dori Primary Health Clinic","1196","1505","1083","922","329","28.93","3024","0","0","2708","316","0","9","Primary Health Clinic","public","org-9ab2c2ac-eb89-4ecd-b790-34bd897ffaf2","5","Local Government","9","primary","active","Nigeria","Bauchi","45350274","Toro","nga-ba-5018","9.538696289","10.18890381"
"1088","1781","1005","1268","1159","544","544","155","155","311","0","Nigeria","Bauchi","Toro","Jama'a #1","Lafia Nursing Home","544","632","482","370","134","31.50","1781","0","0","1230","551","0","9","Primary Health Center","private","org-9eab6407-2dbf-4cae-bf4c-d0a3260a614d","Invalid Number","Unknown","9","primary","active","Nigeria","Bauchi","Invalid Number","Toro","nga-ba-5018","9.46307373","10.22290039"
"1653","3472","2895","3628","2150","827","827","236","236","472","0","Nigeria","Bauchi","Toro","Jama'a #1","Sabon Garin Nabardo Health Post","1394","1633","1518","1188","438","37.79","3472","0","0","2146","1326","0","6879709","Health Post","public","org-6879709c-8fa1-4040-9ff9-e1c366d8e2ad","5","Local Government","6879709","primary","active","Nigeria","Bauchi","61760400","Toro","nga-ba-5018","9.36678","10.20572"
"28","0","34","0","0","14","14","4","4","8","0","Nigeria","Bauchi","Toro","Jama'a #1","Takandan Giwa Health Post","1","1","1","1","0","14.28","0","0","0","0","0","0","76","Health Post","public","org-76eca653-38a1-48a5-9d18-1c75e234d791","5","Local Government","76","primary","active","Nigeria","Bauchi","41060771","Toro","nga-ba-5018","9.463684082","10.22247315"
"4322","4905","3142","3448","6257","2161","2161","847","847","1158","0","Nigeria","Bauchi","Toro","Jama'a #1","Tashan Durumi","1448","1603","1349","1120","459","44.27","4905","0","0","4151","755","0","Invalid Number","Primary Health Center","public","org-df871169-9e9a-4720-9477-a83cbc732681","Invalid Number","Unknown","Invalid Number","primary","active","Nigeria","Bauchi","Invalid Number","Toro","nga-ba-5018","9.584336","10.222777"
"2856","3614","2664","3406","2695","1428","1428","443","443","804","0","Nigeria","Bauchi","Toro","Jama'a #1","Tashan Durumi Primary Health Clinic","1144","1325","1182","974","423","41.33","3614","0","0","3105","509","0","136","Primary Health Clinic","public","org-136b12cc-7aac-4a22-8b6b-26852fb60d50","5","Local Government","136","primary","active","Nigeria","Bauchi","50108275","Toro","nga-ba-5018","9.586253","10.224161"
"3074","2771","2221","2837","3320","1537","1537","439","439","878","0","Nigeria","Bauchi","Toro","Jama'a #1","Wow Health Post","1010","1230","1072","891","395","31.35","2771","0","0","2494","276","0","5","Health Post","public","org-5eca11a0-ceb7-4935-97e7-17248fbc9861","Invalid Number","Unknown","5","primary","active","Nigeria","Bauchi","Invalid Number","Toro","nga-ba-5018","9.544858","10.21996"
"2380","2811","2887","7168","2563","1190","1190","340","340","680","0","Nigeria","Bauchi","Toro","Lame","Fatara Health Post","1","1863","2239","1789","728","27.02","2712","99","0","1429","1304","78","Invalid Number","Health Post","public","org-f20bf2c3-5bfe-40f7-a5ec-3981c968a728","Invalid Number","Unknown","Invalid Number","primary","active","Nigeria","Bauchi","Invalid Number","Toro","nga-ba-5018","9.13221527","10.54341276"
"3758","3986","4094","6823","3955","1879","1879","537","537","1074","0","Nigeria","Bauchi","Toro","Lame","Gukka Health Post","1111","2456","2364","1943","693","33.14","3984","2","0","2453","1533","0","Invalid Number","Health Post","public","org-fe37c141-a033-434f-b74a-4d32d9f99c7d","Invalid Number","Unknown","Invalid Number","primary","active","Nigeria","Bauchi","Invalid Number","Toro","nga-ba-5018","9.222403","10.383969"
"707","2378","1990","4904","737","353","353","101","101","202","0","Nigeria","Bauchi","Toro","Lame","Jange Primary Health Clinic","94","1407","1667","1253","260","20.35","2366","12","0","1410","967","1","Invalid Number","Primary Health Clinic","public","org-fa7f4c00-1201-4e84-be49-bda621b52c90","5","Local Government","Invalid Number","primary","active","Nigeria","Bauchi","19251114","Toro","nga-ba-5018","9.27488","10.43768"
"2785","3306","3579","6532","2917","1393","1393","398","398","796","0","Nigeria","Bauchi","Toro","Lame","Lame Primary Health Care Center","1","1787","2104","1620","486","26.01","3252","54","0","2331","975","0","7","Primary Health Clinic","public","org-7ebda04b-36eb-474d-8505-f82fbebaec40","5","Local Government","7","primary","active","Nigeria","Bauchi","55503933","Toro","nga-ba-5018","9.244171","10.445172"
