"Population Estimate","","","","","","","","","","","Geography","","","","","Building Estimate","","","","","","Accessibility: Total population - WorldPop (2026)","","","","","","Site Attributes","","","","","","","","","","Parent Site Attributes","","","","","","","","","","","","","","",""
"Total population - Meta (2023-04-21)","Total population - WorldPop (2026)","Total population - WorldPop UN (2020)","Total population - Grid3","Total population - Kontur (2023-10-31)","Total women - Meta (2023-04-21)","Total men - Meta (2023-04-21)","Children under 5 - Meta (2023-04-21)","People 15 to 24 - Meta (2023-04-21)","Women 15 to 49 - Meta (2023-04-21)","People 60 and older - Meta (2023-04-21)","Country (Admin 0)","State (Admin 1)","Local government area (Admin 2)","Ward (Admin 3)","Name","OpenStreetMap Buildings (2026-02-20)","Overture Buildings (2026-02-20)","Google Buildings 60+% Confidence (2023-05)","Google Buildings 70+% Confidence (2023-05)","Google Buildings 80+% Confidence (2023-05)","Average Building Footprint (m²) (2023-05)","People within 1hr of driving","People between 1hr - 4hr of driving","People further than 4hr of driving","People within 1hr of walking","People between 1hr - 4hr of walking","People further than 4hr of walking","state","lga_location_id","country","grid3_settlement_id","location_id","status","lga","grid3_globalid","Site Longitude","Site Latitude","Name","site","ownership_code","grid3_globalid","facility_level_code","location_id","state","nhfr_code","lga","lga_location_id","ownership_text","facility_level_text","country","organization_id","status","nhfr_uid"
"88","260","100","116","97","44","44","16","16","24","0","Nigeria","Bauchi","Toro","Jama'a #1","Alhaji Bawa","30","30","32","25","9","27.60","260","0","0","260","0","0","Bauchi","nga-ba-5018","Nigeria","12158654","Invalid Number","active","Toro","Invalid Number","9.60758743061547","10.2313666581448","Tashan Durumi Primary Health Clinic","9.586253,10.224161","public","136","primary","136","Bauchi","5","Toro","nga-ba-5018","Local Government","Primary Health Clinic","Nigeria","org-136b12cc-7aac-4a22-8b6b-26852fb60d50","active","50108275"
"0","41","21","14","11","0","0","0","0","0","0","Nigeria","Bauchi","Toro","Jama'a #1","Alhaji Sani Kimanwaya","0","5","5","3","1","25.78","41","0","0","41","0","0","Bauchi","nga-ba-5018","Nigeria","12167767","Invalid Number","active","Toro","Invalid Number","9.55929264963612","10.2033217803759","Dori Primary Health Clinic","9.538696289,10.18890381","public","9","primary","9","Bauchi","5","Toro","nga-ba-5018","Local Government","Primary Health Clinic","Nigeria","org-9ab2c2ac-eb89-4ecd-b790-34bd897ffaf2","active","45350274"
"0","53","33","89","27","0","0","0","0","0","0","Nigeria","Bauchi","Toro","Jama'a #1","Alhaji Umaru Bulde","22","31","29","23","9","18.02","53","0","0","53","0","0","Bauchi","nga-ba-5018","Nigeria","12195636","Invalid Number","active","Toro","Invalid Number","9.59617046709343","10.2478753438721","Tashan Durumi Primary Health Clinic","9.586253,10.224161","public","136","primary","136","Bauchi","5","Toro","nga-ba-5018","Local Government","Primary Health Clinic","Nigeria","org-136b12cc-7aac-4a22-8b6b-26852fb60d50","active","50108275"
"72","380","486","270","98","36","36","18","18","18","0","Nigeria","Bauchi","Toro","Jama'a #1","Alhaji Ya'u","125","175","85","72","5","15.69","380","0","0","130","250","0","Bauchi","nga-ba-5018","Nigeria","12033010","37","active","Toro","37","9.53802108780303","10.1829830556236","Dori Primary Health Clinic","9.538696289,10.18890381","public","9","primary","9","Bauchi","5","Toro","nga-ba-5018","Local Government","Primary Health Clinic","Nigeria","org-9ab2c2ac-eb89-4ecd-b790-34bd897ffaf2","active","45350274"
"14","262","120","179","30","7","7","2","2","4","0","Nigeria","Bauchi","Toro","Jama'a #1","Anguwar Gusawa","73","85","58","43","15","25.51","262","0","0","262","0","0","Bauchi","nga-ba-5018","Nigeria","12160306","67","active","Toro","67","9.47094440476053","10.1898474117287","Lafia Nursing Home","9.46307373,10.22290039","private","9","primary","9","Bauchi","Invalid Number","Toro","nga-ba-5018","Unknown","Primary Health Center","Nigeria","org-9eab6407-2dbf-4cae-bf4c-d0a3260a614d","active","Invalid Number"
"21","63","50","39","14","11","11","3","3","6","0","Nigeria","Bauchi","Toro","Jama'a #1","Baffa Magoggo","14","16","13","9","0","12.83","63","0","0","63","0","0","Bauchi","nga-ba-5018","Nigeria","12115154","5","active","Toro","5","9.61016756757925","10.2467250830962","Tashan Durumi Primary Health Clinic","9.586253,10.224161","public","136","primary","136","Bauchi","5","Toro","nga-ba-5018","Local Government","Primary Health Clinic","Nigeria","org-136b12cc-7aac-4a22-8b6b-26852fb60d50","active","50108275"
"84","156","77","95","98","42","42","12","12","24","0","Nigeria","Bauchi","Toro","Jama'a #1","Bahago","27","43","32","29","5","28.27","156","0","0","156","0","0","Bauchi","nga-ba-5018","Nigeria","12145688","Invalid Number","active","Toro","Invalid Number","9.52011689617785","10.20458761033","Dori Primary Health Clinic","9.538696289,10.18890381","public","9","primary","9","Bauchi","5","Toro","nga-ba-5018","Local Government","Primary Health Clinic","Nigeria","org-9ab2c2ac-eb89-4ecd-b790-34bd897ffaf2","active","45350274"
"14","34","48","20","21","7","7","2","2","4","0","Nigeria","Bauchi","Toro","Jama'a #1","Bakin Kogi","10","12","8","5","1","24.62","34","0","0","34","0","0","Bauchi","nga-ba-5018","Nigeria","12039001","Invalid Number","active","Toro","Invalid Number","9.42105003563069","10.1566002571961","Amana Health Clinic","9.433270969,10.15212597","private","62","primary","62","Bauchi","5","Toro","nga-ba-5018","For Profit","Primary Health Clinic","Nigeria","org-62d44fa6-6452-4810-bb9f-f41ff201d50d","active","75099900"
"236","165","187","244","114","118","118","34","34","67","0","Nigeria","Bauchi","Toro","Jama'a #1","Balkeri","90","105","94","81","39","28.62","165","0","0","165","0","0","Bauchi","nga-ba-5018","Nigeria","12074059","Invalid Number","active","Toro","Invalid Number","9.54361820021984","10.2124274502667","Wow Health Post","9.544858,10.21996","public","5","primary","5","Bauchi","Invalid Number","Toro","nga-ba-5018","Unknown","Health Post","Nigeria","org-5eca11a0-ceb7-4935-97e7-17248fbc9861","active","Invalid Number"
"93","280","213","167","153","47","47","13","13","27","0","Nigeria","Bauchi","Toro","Jama'a #1","Bayan Dutse","70","76","58","50","23","33.19","280","0","0","280","0","0","Bauchi","nga-ba-5018","Nigeria","12279331","Invalid Number","active","Toro","Invalid Number","9.42331046000976","10.1630696796221","Amana Health Clinic","9.433270969,10.15212597","private","62","primary","62","Bauchi","5","Toro","nga-ba-5018","For Profit","Primary Health Clinic","Nigeria","org-62d44fa6-6452-4810-bb9f-f41ff201d50d","active","75099900"
